City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,fort bragg,35.139,-79.006,15.75,85,100,0.0,US,1697597060
223,yuzhno-kurilsk,44.0306,145.8556,10.76,75,17,6.82,RU,1697597060
224,sao joao batista,-27.2761,-48.8494,20.37,98,100,0.89,BR,1697597061
225,qarqaraly,49.4058,75.4742,8.21,34,8,1.65,KZ,1697597061
226,poxoreo,-15.8372,-54.3892,28.05,35,63,1.43,BR,1697597061
227,lautoka,-17.6167,177.4667,27.92,69,20,6.17,FJ,1697597061
228,turpan,42.9333,89.1667,15.98,23,0,0.54,CN,1697597062
229,dabou,5.3256,-4.3769,24.18,92,71,1.84,CI,1697597062
230,pisco,-13.7,-76.2167,19.03,88,0,6.69,PE,1697597062
231,port saint john's,-31.6229,29.5448,15.88,84,3,4.03,ZA,1697597062
232,pago pago,-14.2781,-170.7025,29.55,70,75,9.26,AS,1697597063
233,kill devil hills,36.0307,-75.676,15.01,75,0,1.54,US,1697597063
234,cavalaire-sur-mer,43.174,6.5272,19.9,87,100,7.51,FR,1697597063
235,kambove,-10.8764,26.5969,16.41,97,100,0.95,CD,1697597063
236,carnarvon,-24.8667,113.6333,29.3,36,0,7.66,AU,1697597064
237,san juan de miraflores,-12.1629,-76.9635,20.09,80,97,3.64,PE,1697597064
238,kapa'a,22.0752,-159.319,28.99,71,100,2.57,US,1697597064
239,pangkalpinang,-2.1333,106.1333,30.16,63,99,4.26,ID,1697597064
240,maintirano,-18.0667,44.0167,25.96,80,95,1.3,MG,1697597065
241,paracuru,-3.41,-39.0306,26.73,78,98,6.32,BR,1697597065
242,sawakin,19.1059,37.3321,27.33,72,27,2.71,SD,1697597065
243,nantucket,41.2835,-70.0995,12.23,88,0,0.0,US,1697597065
244,saint-francois,46.4154,3.9054,15.36,94,0,1.54,FR,1697597066
245,rio grande,-32.035,-52.0986,12.19,79,4,5.95,BR,1697596797
246,ust-nera,64.5667,143.2,-15.44,85,98,1.34,RU,1697597066
247,lawas,13.764,121.0566,30.55,66,68,5.15,PH,1697597067
248,keflavik,64.0049,-22.5624,10.24,87,100,16.46,IS,1697597067
249,labrador city,52.9463,-66.9114,1.95,80,100,3.09,CA,1697596810
250,puerto ayora,-0.7393,-90.3518,24.19,94,20,0.45,EC,1697597021
251,cotnari,47.35,26.9833,4.81,73,48,1.47,RO,1697597067
252,smithfield,41.922,-71.5495,12.32,95,100,0.45,US,1697597068
253,acapulco de juarez,16.8634,-99.8901,28.9,79,100,3.6,MX,1697596795
254,pasni,25.2631,63.471,26.63,77,94,0.96,PK,1697597049
255,vrangel',42.7297,133.0839,14.36,83,100,3.13,RU,1697597068
256,robertsport,6.7533,-11.3686,25.21,87,95,1.8,LR,1697597068
257,waat,51.1454,6.4958,7.72,86,100,4.12,DE,1697597069
258,novodvinsk,64.4165,40.8122,3.77,78,100,4.78,RU,1697597069
259,imperatriz,-5.5264,-47.4917,26.42,53,21,1.25,BR,1697596874
260,filadelfia,39.9523,-75.1638,13.12,87,100,0.0,US,1697596823
261,vilyuchinsk,52.9306,158.4028,7.18,96,100,1.92,RU,1697597070
262,bardai,11.65,7.2333,23.3,69,96,1.85,NG,1697597070
263,kununurra,-15.7667,128.7333,34.99,14,0,4.63,AU,1697597070
264,utrik,11.2278,169.8474,28.03,80,87,7.91,MH,1697597054
265,bikenibeu village,1.3673,173.1241,29.98,79,75,5.14,KI,1697597070
266,nadi,-17.8,177.4167,28.0,69,20,6.17,FJ,1697597071
267,ha giang,22.8333,104.9833,29.46,57,50,1.26,VN,1697597071
268,papao,-17.75,-149.55,27.82,83,96,7.41,PF,1697597071
269,laguna,38.421,-121.4238,24.62,54,0,0.0,US,1697597071
270,martapura,-3.4167,114.85,31.05,66,20,2.57,ID,1697597072
271,atar,20.5169,-13.0499,28.93,22,40,0.63,MR,1697597072
